"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"1",0,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221011_190000.WAV","Big Bog_AM1",2022-10-11,2022-10-11 19:00:00,3,4.5,13131,"Eastern Sign-bearing Froglet",0.896,0,0.896,0.002,0,0,0,0.013,"[0.088 0.    0.    0.    0.013 0.    0.    0.896 0.002 0.    0.    0.
 0.    0.    0.    0.    0.001]"
"2",34,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221012_213000.WAV","Big Bog_AM1",2022-10-12,2022-10-12 21:30:00,39,40.5,13131,"Eastern Sign-bearing Froglet",0.52,0,0.52,0,0,0,0,0,"[0.47  0.    0.    0.    0.    0.    0.    0.52  0.    0.    0.    0.
 0.    0.    0.    0.    0.009]"
"3",62,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221013_223000.WAV","Big Bog_AM1",2022-10-13,2022-10-13 22:30:00,34,35.5,13131,"Eastern Sign-bearing Froglet",0.981,0,0.982,0,0,0,0,0,"[0.017 0.    0.    0.    0.    0.    0.    0.982 0.    0.    0.    0.
 0.    0.    0.    0.    0.001]"
"4",80,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221014_210000.WAV","Big Bog_AM1",2022-10-14,2022-10-14 21:00:00,35,36.5,13131,"Eastern Sign-bearing Froglet",0.587,0,0.588,0.003,0.002,0,0,0.001,"[0.404 0.    0.    0.    0.001 0.    0.    0.588 0.003 0.001 0.    0.
 0.    0.    0.    0.002 0.001]"
"5",99,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221015_194500.WAV","Big Bog_AM1",2022-10-15,2022-10-15 19:45:00,43,44.5,13131,"Eastern Sign-bearing Froglet",0.835,0,0.835,0.005,0,0,0,0.005,"[0.154 0.    0.    0.    0.005 0.    0.    0.835 0.005 0.    0.    0.
 0.    0.    0.    0.    0.001]"
"6",133,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221016_221500.WAV","Big Bog_AM1",2022-10-16,2022-10-16 22:15:00,2,3.5,13131,"Eastern Sign-bearing Froglet",0.978,0,0.978,0,0,0,0,0.002,"[0.018 0.    0.    0.    0.002 0.    0.    0.978 0.    0.    0.    0.
 0.    0.    0.    0.    0.001]"
"7",152,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221017_210000.WAV","Big Bog_AM1",2022-10-17,2022-10-17 21:00:00,22,23.5,13131,"Eastern Sign-bearing Froglet",0.994,0,0.994,0,0,0,0,0.004,"[0.002 0.    0.    0.    0.004 0.    0.    0.994 0.    0.    0.    0.
 0.    0.    0.    0.    0.001]"
"8",166,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221018_003000.WAV","Big Bog_AM1",2022-10-18,2022-10-18 00:30:00,0,1.5,13131,"Eastern Sign-bearing Froglet",0.604,0,0.604,0,0,0,0,0.001,"[0.394 0.    0.    0.    0.001 0.    0.    0.604 0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"9",197,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221019_201500.WAV","Big Bog_AM1",2022-10-19,2022-10-19 20:15:00,30,31.5,13131,"Eastern Sign-bearing Froglet",0.983,0,0.984,0,0,0,0,0.004,"[0.007 0.    0.    0.    0.004 0.    0.    0.984 0.    0.    0.    0.
 0.    0.    0.    0.    0.005]"
"10",228,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221020_220000.WAV","Big Bog_AM1",2022-10-20,2022-10-20 22:00:00,30,31.5,13131,"Eastern Sign-bearing Froglet",0.931,0,0.931,0.001,0,0,0,0.001,"[0.066 0.    0.    0.    0.001 0.    0.    0.931 0.001 0.    0.    0.
 0.    0.    0.    0.    0.001]"
"11",251,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221021_214500.WAV","Big Bog_AM1",2022-10-21,2022-10-21 21:45:00,40,41.5,13131,"Eastern Sign-bearing Froglet",0.919,0,0.92,0.001,0,0,0,0.009,"[0.066 0.    0.    0.    0.009 0.    0.    0.92  0.001 0.    0.    0.
 0.    0.    0.    0.    0.005]"
"12",283,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221022_234500.WAV","Big Bog_AM1",2022-10-22,2022-10-22 23:45:00,25,26.5,13131,"Eastern Sign-bearing Froglet",0.755,0,0.755,0.002,0,0,0,0.003,"[0.228 0.    0.    0.    0.003 0.    0.    0.755 0.002 0.    0.    0.
 0.    0.    0.    0.    0.011]"
"13",303,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221023_224500.WAV","Big Bog_AM1",2022-10-23,2022-10-23 22:45:00,7,8.5,13131,"Eastern Sign-bearing Froglet",0.963,0,0.964,0,0,0,0,0.001,"[0.034 0.    0.    0.    0.001 0.    0.    0.964 0.    0.    0.    0.
 0.    0.    0.    0.    0.001]"
"14",308,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221024_000000.WAV","Big Bog_AM1",2022-10-24,2022-10-24,0,1.5,-2,"Not a frog",0.989,0,0.003,0.001,0.001,0,0,0.001,"[0.99  0.    0.    0.    0.001 0.    0.    0.003 0.001 0.    0.    0.
 0.005 0.    0.    0.001 0.   ]"
"15",348,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221025_220000.WAV","Big Bog_AM1",2022-10-25,2022-10-25 22:00:00,0,1.5,-2,"Not a frog",0.944,0,0.029,0.001,0.001,0,0,0.024,"[0.944 0.    0.    0.    0.024 0.    0.    0.029 0.001 0.    0.    0.
 0.    0.    0.    0.001 0.   ]"
"16",360,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221026_190000.WAV","Big Bog_AM1",2022-10-26,2022-10-26 19:00:00,0,1.5,-2,"Not a frog",0.977,0.004,0.006,0.002,0,0.006,0,0.005,"[0.976 0.    0.    0.004 0.005 0.    0.    0.006 0.002 0.    0.    0.006
 0.    0.    0.    0.    0.   ]"
"17",390,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221027_203000.WAV","Big Bog_AM1",2022-10-27,2022-10-27 20:30:00,0,1.5,-2,"Not a frog",0.978,0.006,0.005,0.002,0,0.004,0,0.006,"[0.978 0.    0.    0.006 0.006 0.    0.    0.005 0.002 0.    0.    0.004
 0.    0.    0.    0.    0.   ]"
"18",413,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221028_201500.WAV","Big Bog_AM1",2022-10-28,2022-10-28 20:15:00,0,1.5,-2,"Not a frog",0.991,0.001,0.001,0.001,0.003,0.002,0,0.002,"[0.99  0.    0.    0.001 0.002 0.    0.    0.001 0.001 0.    0.    0.002
 0.    0.    0.    0.003 0.   ]"
"19",451,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221029_234500.WAV","Big Bog_AM1",2022-10-29,2022-10-29 23:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"20",462,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221030_203000.WAV","Big Bog_AM1",2022-10-30,2022-10-30 20:30:00,41,42.5,13204,"Perons Tree Frog",0.831,0,0.001,0,0.044,0.831,0,0,"[0.123 0.    0.    0.    0.    0.    0.    0.001 0.    0.    0.    0.831
 0.    0.    0.    0.044 0.   ]"
"21",493,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221031_221500.WAV","Big Bog_AM1",2022-10-31,2022-10-31 22:15:00,7,8.5,13131,"Eastern Sign-bearing Froglet",0.997,0,0.997,0,0,0,0,0,"[0.003 0.    0.    0.    0.    0.    0.    0.997 0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"22",502,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221101_003000.WAV","Big Bog_AM1",2022-11-01,2022-11-01 00:30:00,58,59.5,13131,"Eastern Sign-bearing Froglet",0.988,0,0.988,0,0,0,0,0,"[0.011 0.    0.    0.    0.    0.    0.    0.988 0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"23",526,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221102_003000.WAV","Big Bog_AM1",2022-11-02,2022-11-02 00:30:00,0,1.5,-2,"Not a frog",0.995,0.001,0.001,0.001,0,0.002,0,0.002,"[0.994 0.    0.    0.001 0.002 0.    0.    0.001 0.001 0.    0.    0.002
 0.    0.    0.    0.    0.   ]"
"24",553,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221103_191500.WAV","Big Bog_AM1",2022-11-03,2022-11-03 19:15:00,0,1.5,-2,"Not a frog",0.993,0.001,0.002,0.001,0,0.002,0,0.002,"[0.993 0.    0.    0.001 0.002 0.    0.    0.002 0.001 0.    0.    0.002
 0.    0.    0.    0.    0.   ]"
"25",578,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221104_193000.WAV","Big Bog_AM1",2022-11-04,2022-11-04 19:30:00,0,1.5,-2,"Not a frog",0.998,0.001,0.001,0,0,0,0,0,"[0.998 0.    0.    0.001 0.    0.    0.    0.001 0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"26",613,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221105_221500.WAV","Big Bog_AM1",2022-11-05,2022-11-05 22:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"27",622,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221106_003000.WAV","Big Bog_AM1",2022-11-06,2022-11-06 00:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"28",661,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221107_221500.WAV","Big Bog_AM1",2022-11-07,2022-11-07 22:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"29",670,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221108_003000.WAV","Big Bog_AM1",2022-11-08,2022-11-08 00:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"30",710,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221109_223000.WAV","Big Bog_AM1",2022-11-09,2022-11-09 22:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"31",719,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221110_004500.WAV","Big Bog_AM1",2022-11-10,2022-11-10 00:45:00,0,1.5,-2,"Not a frog",0.981,0.004,0.002,0.002,0,0.003,0,0.008,"[0.982 0.    0.    0.004 0.008 0.    0.    0.002 0.002 0.    0.    0.003
 0.    0.    0.    0.    0.   ]"
"32",741,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221111_001500.WAV","Big Bog_AM1",2022-11-11,2022-11-11 00:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"33",784,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221112_230000.WAV","Big Bog_AM1",2022-11-12,2022-11-12 23:00:00,0,1.5,-2,"Not a frog",0.999,0,0.001,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.001 0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"34",811,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221113_234500.WAV","Big Bog_AM1",2022-11-13,2022-11-13 23:45:00,0,1.5,-2,"Not a frog",0.978,0.005,0.004,0.003,0,0.004,0,0.006,"[0.978 0.    0.    0.005 0.006 0.    0.    0.004 0.003 0.    0.    0.004
 0.    0.    0.    0.    0.   ]"
"35",812,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221114_000000.WAV","Big Bog_AM1",2022-11-14,2022-11-14,0,1.5,-2,"Not a frog",0.975,0.001,0.004,0.011,0.002,0.003,0,0.003,"[0.975 0.    0.    0.001 0.003 0.    0.    0.004 0.011 0.    0.    0.003
 0.    0.    0.    0.002 0.001]"
"36",848,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221115_210000.WAV","Big Bog_AM1",2022-11-15,2022-11-15 21:00:00,0,1.5,-2,"Not a frog",0.996,0,0.001,0.001,0,0.001,0.001,0.001,"[0.996 0.    0.    0.    0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.001 0.    0.    0.   ]"
"37",867,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221116_194500.WAV","Big Bog_AM1",2022-11-16,2022-11-16 19:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"38",893,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221117_201500.WAV","Big Bog_AM1",2022-11-17,2022-11-17 20:15:00,0,1.5,-2,"Not a frog",0.997,0.001,0.001,0,0,0.001,0,0.001,"[0.997 0.    0.    0.001 0.001 0.    0.    0.001 0.    0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"39",928,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221118_230000.WAV","Big Bog_AM1",2022-11-18,2022-11-18 23:00:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"40",953,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221119_231500.WAV","Big Bog_AM1",2022-11-19,2022-11-19 23:15:00,0,1.5,-2,"Not a frog",0.994,0.001,0.001,0.001,0,0.001,0,0.002,"[0.994 0.    0.    0.001 0.002 0.    0.    0.001 0.001 0.    0.    0.001
 0.001 0.    0.    0.    0.   ]"
"41",960,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221120_190000.WAV","Big Bog_AM1",2022-11-20,2022-11-20 19:00:00,0,1.5,-2,"Not a frog",0.987,0.003,0.003,0.001,0,0.003,0,0.003,"[0.988 0.    0.    0.003 0.003 0.    0.    0.003 0.001 0.    0.    0.003
 0.    0.    0.    0.    0.   ]"
"42",987,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221121_194500.WAV","Big Bog_AM1",2022-11-21,2022-11-21 19:45:00,8,9.5,13131,"Eastern Sign-bearing Froglet",0.756,0,0.756,0,0,0,0,0.012,"[0.23  0.    0.    0.    0.012 0.    0.    0.756 0.    0.    0.    0.
 0.    0.    0.    0.    0.001]"
"43",1009,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221122_191500.WAV","Big Bog_AM1",2022-11-22,2022-11-22 19:15:00,44,45.5,13131,"Eastern Sign-bearing Froglet",0.634,0,0.634,0.002,0,0,0,0.01,"[0.354 0.    0.    0.    0.01  0.    0.    0.634 0.002 0.    0.    0.
 0.    0.    0.    0.    0.001]"
"44",1034,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221123_193000.WAV","Big Bog_AM1",2022-11-23,2022-11-23 19:30:00,0,1.5,-2,"Not a frog",0.987,0,0.012,0,0,0,0,0,"[0.988 0.    0.    0.    0.    0.    0.    0.012 0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"45",1058,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221124_193000.WAV","Big Bog_AM1",2022-11-24,2022-11-24 19:30:00,0,1.5,-2,"Not a frog",0.991,0.002,0.003,0.001,0,0.001,0,0.002,"[0.991 0.    0.    0.002 0.002 0.    0.    0.003 0.001 0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"46",1095,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221125_224500.WAV","Big Bog_AM1",2022-11-25,2022-11-25 22:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"47",1101,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221126_001500.WAV","Big Bog_AM1",2022-11-26,2022-11-26 00:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"48",1137,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221127_211500.WAV","Big Bog_AM1",2022-11-27,2022-11-27 21:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"49",1158,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221128_203000.WAV","Big Bog_AM1",2022-11-28,2022-11-28 20:30:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"50",1184,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221129_210000.WAV","Big Bog_AM1",2022-11-29,2022-11-29 21:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"51",1203,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221130_194500.WAV","Big Bog_AM1",2022-11-30,2022-11-30 19:45:00,4,5.5,13131,"Eastern Sign-bearing Froglet",0.788,0,0.788,0.001,0,0,0,0.006,"[0.206 0.    0.    0.    0.006 0.    0.    0.788 0.001 0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"52",1234,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221201_213000.WAV","Big Bog_AM1",2022-12-01,2022-12-01 21:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"53",1246,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221202_003000.WAV","Big Bog_AM1",2022-12-02,2022-12-02 00:30:00,0,1.5,-2,"Not a frog",0.997,0,0.001,0,0,0.001,0,0.001,"[0.997 0.    0.    0.    0.001 0.    0.    0.001 0.    0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"54",1274,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221203_193000.WAV","Big Bog_AM1",2022-12-03,2022-12-03 19:30:00,0,1.5,-2,"Not a frog",0.998,0,0.002,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.002 0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"55",1303,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221204_204500.WAV","Big Bog_AM1",2022-12-04,2022-12-04 20:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"56",1336,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221205_230000.WAV","Big Bog_AM1",2022-12-05,2022-12-05 23:00:00,0,1.5,-2,"Not a frog",0.996,0.001,0.001,0.001,0,0.001,0,0.001,"[0.996 0.    0.    0.001 0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"57",1345,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221206_191500.WAV","Big Bog_AM1",2022-12-06,2022-12-06 19:15:00,30,31.5,13131,"Eastern Sign-bearing Froglet",0.745,0,0.745,0,0,0,0,0.001,"[0.253 0.    0.    0.    0.001 0.    0.    0.745 0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"58",1386,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221207_233000.WAV","Big Bog_AM1",2022-12-07,2022-12-07 23:30:00,0,1.5,-2,"Not a frog",0.986,0.004,0.002,0.001,0.001,0.002,0,0.004,"[0.986 0.    0.    0.004 0.004 0.    0.    0.002 0.001 0.    0.    0.002
 0.    0.    0.    0.001 0.   ]"
"59",1389,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221208_001500.WAV","Big Bog_AM1",2022-12-08,2022-12-08 00:15:00,0,1.5,-2,"Not a frog",0.99,0.001,0.001,0.001,0.006,0.001,0,0.001,"[0.99  0.    0.    0.001 0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.    0.    0.006 0.   ]"
"60",1417,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221209_191500.WAV","Big Bog_AM1",2022-12-09,2022-12-09 19:15:00,0,1.5,-2,"Not a frog",0.995,0.001,0.001,0,0,0.001,0,0.002,"[0.994 0.    0.    0.001 0.002 0.    0.    0.001 0.    0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"61",1448,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221210_210000.WAV","Big Bog_AM1",2022-12-10,2022-12-10 21:00:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"62",1466,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221211_193000.WAV","Big Bog_AM1",2022-12-11,2022-12-11 19:30:00,52,53.5,13204,"Perons Tree Frog",0.722,0,0.003,0.001,0.009,0.722,0,0.005,"[0.257 0.    0.    0.    0.005 0.    0.    0.003 0.001 0.    0.    0.722
 0.    0.    0.    0.009 0.002]"
"63",1489,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221212_191500.WAV","Big Bog_AM1",2022-12-12,2022-12-12 19:15:00,0,1.5,-2,"Not a frog",0.991,0.001,0.001,0.001,0,0.001,0,0.001,"[0.99  0.    0.005 0.001 0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"64",1514,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221213_193000.WAV","Big Bog_AM1",2022-12-13,2022-12-13 19:30:00,38,39.5,13131,"Eastern Sign-bearing Froglet",0.759,0,0.76,0.002,0,0,0,0.013,"[0.224 0.    0.    0.    0.013 0.    0.    0.76  0.002 0.    0.    0.
 0.    0.    0.    0.    0.002]"
"65",1550,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221214_223000.WAV","Big Bog_AM1",2022-12-14,2022-12-14 22:30:00,0,1.5,-2,"Not a frog",0.995,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"[0.995 0.    0.001 0.001 0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.001 0.    0.001 0.   ]"
"66",1575,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221215_224500.WAV","Big Bog_AM1",2022-12-15,2022-12-15 22:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"67",1590,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221216_203000.WAV","Big Bog_AM1",2022-12-16,2022-12-16 20:30:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"68",1609,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221217_191500.WAV","Big Bog_AM1",2022-12-17,2022-12-17 19:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"69",1633,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221218_191500.WAV","Big Bog_AM1",2022-12-18,2022-12-18 19:15:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"70",1657,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221219_191500.WAV","Big Bog_AM1",2022-12-19,2022-12-19 19:15:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"71",1679,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221220_004500.WAV","Big Bog_AM1",2022-12-20,2022-12-20 00:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"72",1706,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221221_193000.WAV","Big Bog_AM1",2022-12-21,2022-12-21 19:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
